Device ID	Device Name	Device Platform
00008110-001A59C21E84801E	xingneng yipaiyou1	ios
00008120-001E68893C68201E	xingneng yipaiyou2	ios
00008110-00186C383C45401E	xingneng yipaiyou3	ios
00008110-001809901E28201E	xingneng yipaiyou4	ios
00008110-001414392E91401E	xingneng yipaiyou5	ios
00008020-000E08292679002E	shanghaixiaocang	ios
00008020-001539E03E69002E	shanghaidacang	ios
00008030-001E5DD91EC2202E	zhaoqingdian	ios
fbb45c6bf047bef56713dc128dbaae97b3e4cce6	qibocang	ios
f96e61819f103096e584c66718de46ed890e001e	zhengzhoudian	ios
00008030-001A44100E04C02E	wuhancang	ios
00008030-001C391C21A2202E	leshan	ios
00008030-0012443A0C52202E	zhanjiang	ios
00008030-001A643136C2202E	luzhou	ios
5c055211674e10e27183e53e868b5c7ae22b17cf	beijingdongsihuanxindian	ios
00008030-0006694E3C62202E	guangdongcang	ios
00008030-001D455A0AA2202E	guangzhoumendian	ios
6852bed12fdf531c08d9334d93dfc36f027e1716	haikoucang	ios
00008030-0016108A0CD8202E	chengducang	ios
00008030-001538C60102202E	chongqingdian	ios
70f1a96a4242632fd1c3db63f946741a32e4635e	chengducang1	ios
00008140-000969303E78801C	niexinxin-geren	ios
00008020-000534C811F8003A	niexinxin-19146	ios
00008103-000559283CD3001E	niexinxin-29473	ios
acba7a370e89f33fa09fc2810ec4dd1890c20569	chengqiang-15969	ios
00008140-000628C90AFB001C	liyanan-36733	ios
00008140-000865C034FB001C	liyanan-36732	ios
00008030-001004640143802E	liyanan-25533	ios
00008120-0019549A1E62601E	liyanan-36728	ios
00008110-000809663C68401E	xukaiming-geren	ios
00008110-001E68622199401E	xukaiming-31434	ios
4F143A03C2F69C158BEE17356EAFB905423C4317	luoxiurui-12306	ios
00008101-00055DC42206001E	liyanqing-geren	ios
00008110-000229600E44801E	liyan-geren	ios
00008130-001A342E1490001C	liyanan-32363	ios
00008020-001C250A3C86002E	zhangpengfei-18413	ios
00008120-000464C02204A01E	wangxiuli	ios
00008112-000E40EE0AE8A01E	penghuanhuan-32936	ios
00008103-000965D21144201E	jumingming-31435	ios
00008110-001035443E61801E	daidan-14961	ios
00008027-0006041E1E40402E	zhanghailong-25677	ios
00008110-00092D641A46201E	jiachaojun-32916	ios
00008130-001E0DC10491401C	hanyipeng-geren	ios
00008020-001C6D010E46002E	zhangpengfei-geren	ios
00008140-001A38CC3CF3001C	xuyuan-geren	ios
00008030-000408AC2E42802E	jinyixian-geren	ios
00008120-000E60D62E32201E	longyue-geren	ios
